Partition,Algorithm,BlendWeight,BuildTime,TestTime,NUsers,NAttempted,NGood,Coverage,RMSE.ByUser,RMSE.ByRating,Predict.nDCG,TopN.nDCG,MAP,MRR
3,ii-svd-blend,0.9,0.059000000000000004,248.394,172,860,860,1.0,0.6813333546764205,0.7623302020191368,0.9755412094092937,0.05676767446625804,0.11103533170735629,0.11760027762934738
1,ii-svd-blend,0.3,0.06,256.745,173,865,865,1.0,0.702623570088924,0.798254547284863,0.9740473586133594,0.05103079099134508,0.07102164379396937,0.08246203640367811
3,lucene-svd-blend,0.7,0.024,157.349,172,860,860,1.0,0.6687992730523273,0.7475242327393089,0.976096932537805,0.05973287563937989,0.11899581241911504,0.12121832912949085
3,lucene-svd-blend,0.6,0.019,158.121,172,860,860,1.0,0.6668707262701674,0.7451472388644071,0.9761370038112254,0.05912189280862415,0.11491611934237392,0.11963433394430945
3,ii-svd-blend,0.8,0.063,247.81,172,860,860,1.0,0.6786367772557061,0.7595576002564329,0.9756955762002543,0.05750296410894893,0.11457839343778756,0.11869084268105078
3,ii-svd-blend,0.7,0.068,247.046,172,860,860,1.0,0.6767106559536433,0.7576284027508766,0.9761557773721256,0.06046421631023674,0.12082687574524248,0.12503222067391162
3,lucene-svd-blend,0.5,0.02,158.458,172,860,860,1.0,0.6666399357752715,0.7446924299723063,0.9764309865514101,0.05741754898801878,0.10992797372436638,0.11403795493911771
3,ii-svd-blend,0.6,0.061,247.95600000000002,172,860,860,1.0,0.6755662436924876,0.7565490615638476,0.9767325070213949,0.05797514679601775,0.11532639891728019,0.11661923857456294
1,lucene-svd-blend,0.3,0.02,167.899,173,865,865,1.0,0.7030107181386605,0.8023375021988447,0.9734305354448541,0.04697791940862452,0.07138534756969037,0.07396356575484497
3,lucene-svd-blend,0.4,0.022,164.20000000000002,172,860,860,1.0,0.6680959020359682,0.7461633209592371,0.9774302128681522,0.05447455445281187,0.0984477255501723,0.10129600372548535
3,lucene-svd-blend,0.3,0.025,167.117,172,860,860,1.0,0.6712232349447662,0.7495485751089299,0.9772796752867721,0.04640130179709619,0.07370513891446352,0.07924093838300846
3,ii-svd-blend,0.5,0.067,257.214,172,860,860,1.0,0.6752131925732359,0.7563232151680869,0.9765874862613196,0.05618034044942679,0.11341010559008868,0.11449414000222896
3,ii-svd-blend,0.4,0.058,262.524,172,860,860,1.0,0.6756591688547074,0.756951627517906,0.9758818395695603,0.05433788579261934,0.10341488716142215,0.10534080175410543
3,lucene-svd-blend,0.2,0.022,173.846,172,860,860,1.0,0.6760012297042796,0.7548224360515446,0.9745694092251607,0.03678502026793513,0.056714521025394586,0.061581096378506055
3,svd,,22.365000000000002,0.546,172,860,860,1.0,0.6774813859630042,0.7615962056887924,0.9758973032794871,0.05234227756671359,0.0900384738493564,0.09055333979406087
3,lucene-svd-blend,0.1,0.019,180.411,172,860,860,1.0,0.6824036329216959,0.7619456884199814,0.9740461965204646,0.03140503110349372,0.0457905873229581,0.04871352764073427
3,ii,,0.052000000000000005,69.205,172,860,860,1.0,0.6854837470974137,0.7679231617218387,0.9737069257244443,0.034751708856586655,0.05718287942138456,0.05971635369904488
3,ii-svd-blend,0.3,0.058,276.759,172,860,860,1.0,0.6769093317657245,0.7584321751828444,0.9752411825411545,0.052242760878834955,0.09831234731740528,0.09985415491301444
2,lucene,,0.046,24.994,173,865,840,0.9710982658959537,0.7680255255715759,0.8692643457187408,0.9541376125312245,0.01846535737791211,0.019942053168261274,0.020103615657041655
3,lucene-svd-blend,0,0.022,176.552,172,860,860,1.0,0.6903989731555448,0.7708670656169337,0.9736974411791255,0.02875674488858547,0.03555756462040212,0.03735873663959739
3,ii-svd-blend,0.2,0.088,273.894,172,860,860,1.0,0.6789656118994831,0.7607598830471514,0.9741191273079962,0.045264787500790195,0.08322647175587566,0.08813695414903515
1,ii-svd-blend,0.4,0.062,278.61400000000003,173,865,865,1.0,0.7019050684846653,0.797938167801827,0.9733949081724073,0.05261499755433218,0.0777073983986221,0.08941470284975891
3,ii-svd-blend,0.1,0.068,268.822,172,860,860,1.0,0.681825935638229,0.7639270071845936,0.9738052050752329,0.03984798593277993,0.07185611867513521,0.0756308581475491
3,ii-svd-blend,0,0.06,269.537,172,860,860,1.0,0.6854837470974137,0.7679231617218387,0.9737069257244443,0.034751708856586655,0.05718287942138456,0.05971635369904488
2,lucene-svd-blend,0.8,3.362,188.895,173,865,865,1.0,0.7508635066365436,0.8508030189301128,0.9658062731410231,0.04542555539355755,0.07710023791565856,0.07870061249291176
2,lucene-svd-blend,0.9,20.651,188.90800000000002,173,865,865,1.0,0.7567907506918938,0.8557370874940733,0.9641158983293289,0.046213096574939,0.07741750128286018,0.07974306749570964
2,lucene-svd-blend,1.0,33.739,189.07,173,865,865,1.0,0.7643098812983676,0.8625101404607259,0.9625375867345632,0.04517277626061745,0.07648792837490737,0.08015481037233395
1,lucene-svd-blend,0.4,0.02,183.79500000000002,173,865,865,1.0,0.69995365846507,0.7990932279307458,0.9739748524277688,0.05280928064940119,0.08072349246188953,0.08368408920100771
2,ii-svd-blend,1.0,45.472,304.777,173,865,865,1.0,0.7643098812983676,0.8625101404607259,0.9625375867345632,0.04517277626061745,0.07648792837490737,0.08015481037233395
2,ii-svd-blend,0.9,21.275000000000002,305.165,173,865,865,1.0,0.7600508612516619,0.8583959715774219,0.9621846673756992,0.045884714413207954,0.07506557794546126,0.07830511863824913
2,lucene-svd-blend,0.7,0.018000000000000002,205.274,173,865,865,1.0,0.7466776344708552,0.8477400454861423,0.9676200295276719,0.042384071171310926,0.07020814250999115,0.07226334485421083
2,ii-svd-blend,0.8,0.069,307.934,173,865,865,1.0,0.7566152755029544,0.8551202374806577,0.9637106671480113,0.04644447301326487,0.07779417071601775,0.08188419876621168
2,lucene-svd-blend,0.6,0.02,198.931,173,865,865,1.0,0.7445074603873136,0.8465684768603172,0.9670481259578377,0.04015348896496957,0.0638534861785974,0.06520654063858829
2,ii-svd-blend,0.7,0.06,308.01300000000003,173,865,865,1.0,0.7540356649584503,0.8526926011074989,0.9649225931005492,0.047367295063990233,0.07560472223055467,0.07980316525888012
2,ii-svd-blend,0.6,0.06,308.821,173,865,865,1.0,0.7523382293479366,0.8511203195341033,0.9641676638516524,0.04630803784492669,0.07591055125204221,0.0801249761675822
1,ii-svd-blend,0.5,0.07100000000000001,297.634,173,865,865,1.0,0.702061724482242,0.7984326322760784,0.9737352351851818,0.055409994134068295,0.083699894486995,0.09484754098303012
2,lucene-svd-blend,0.5,0.023,194.411,173,865,865,1.0,0.7445990958129984,0.8472961589071707,0.9672008395253299,0.03685678274172948,0.0609858093852956,0.06085943886937997
2,lucene-svd-blend,0.4,0.021,195.459,173,865,865,1.0,0.7468016331454063,0.8499182133456085,0.9677689764440752,0.031211141060465922,0.0507405706504205,0.050729560465999905
2,lucene-svd-blend,0.3,0.021,197.861,173,865,865,1.0,0.7509300153968536,0.854417199877691,0.9673637914848273,0.025581206825042974,0.037694920584553225,0.03794998868367023
2,ii-svd-blend,0.5,0.068,300.867,173,865,865,1.0,0.7515375792159019,0.8504081370554145,0.9632692809684651,0.04645415182181222,0.07411077175219338,0.0805380472839178
1,lucene-svd-blend,0.5,0.02,187.263,173,865,865,1.0,0.6985281263393632,0.7974341056965188,0.9739200047352838,0.05817066446264206,0.10043341008936117,0.10411211738078523
2,ii-svd-blend,0.4,0.068,304.639,173,865,865,1.0,0.7516337408536691,0.8505582141876902,0.9637943705984308,0.0457236057687464,0.07196105248401084,0.07943706513406219
2,lucene-svd-blend,0.2,0.024,195.215,173,865,865,1.0,0.756840021793792,0.8607636883079902,0.9678378643136659,0.021594676442661283,0.031040795167164487,0.031117218800201515
2,svd,,21.474,0.5760000000000001,173,865,865,1.0,0.7672828015146973,0.8739865458464511,0.9615032220293851,0.05125794614335633,0.08655493044431253,0.09659164668107904
2,lucene-svd-blend,0.1,0.022,195.151,173,865,865,1.0,0.7644019108459368,0.8689171976459052,0.9680396174085826,0.01796477943423346,0.023583309405123935,0.023686230694272913
1,lucene,,0.005,26.875,173,865,836,0.9664739884393063,0.7138174312874939,0.8194095533176445,0.9547750701119551,0.02815630384352783,0.035885448911356206,0.03634243902917597
2,ii,,0.067,70.298,173,865,865,1.0,0.7606257119618551,0.8597331733678635,0.96084152184289,0.03874688904785597,0.059539137031618845,0.06438373671730373
