Partition,Algorithm,BlendWeight,User,TestTime,NAttempted,NGood,Coverage,RMSE,Predict.nDCG,Predict.nDCG.Raw,TopN.nDCG,AvgPrec,Rank,RecipRank
5,lucene,,1741,4.68,5,5,1.0,1.2309085468622403,0.8976332717519826,9.984565739436487,0.0,0.0,,0.0
5,lucene,,2847,1.493,5,5,1.0,0.7275621346521165,0.9934244844834,10.473339221038733,0.0,0.0,,0.0
5,lucene,,4347,0.152,5,5,1.0,1.1278352178760815,0.9739678574399465,7.4922828697182435,0.0,0.0,,0.0
5,lucene,,4483,0.26,5,5,1.0,0.696253179221687,0.9871717623977794,14.200537007218344,0.0,0.0,,0.0
5,lucene,,5063,0.122,5,4,0.8,1.4226920310538151,0.7546949997924868,7.880929753571458,0.0,0.0,,0.0
5,lucene,,8335,0.066,5,5,1.0,1.5775790505574987,0.9921249585170272,13.100410409469312,0.0,0.0,,0.0
5,lucene,,9263,0.07100000000000001,5,5,1.0,0.4875104579916318,1.0,16.696678442077467,0.0,0.0,,0.0
5,lucene,,10164,0.116,5,5,1.0,0.4791300410202647,1.0,14.531086967542706,0.0,0.0,,0.0
5,lucene,,10573,0.112,5,5,1.0,0.7413745497690347,0.9809669868945161,12.885072130432615,0.0,0.0,,0.0
5,lucene,,11081,0.16,5,5,1.0,0.7113610539631192,0.9738861552616213,9.323465818787767,0.37109463708239493,0.5434782608695652,1,1.0
5,lucene,,12014,0.042,5,5,1.0,1.0540977231290132,0.9877557908442508,11.184818934934553,0.0,0.0,,0.0
5,lucene,,12930,0.028,5,5,1.0,0.9888580265042143,0.9108009716311355,10.25028381172028,0.0,0.0,,0.0
5,lucene,,12999,0.1,5,5,1.0,0.8005014053244267,0.9759025657880167,14.946678442077467,0.0,0.0,,0.0
5,lucene,,13340,0.04,5,4,0.8,1.7516753974712111,0.6440731406812551,7.315464876785729,0.0,0.0,,0.0
5,lucene,,13927,0.035,5,4,0.8,0.7190044153200246,0.8903774923799661,14.27371901428583,0.3118940100645225,1.0,1,1.0
5,lucene,,14328,0.101,5,5,1.0,0.5069132024630728,0.9570331134022183,12.680960369793672,0.0,0.0,,0.0
5,lucene,,14833,0.145,5,5,1.0,0.8112096957943852,0.981664930144226,13.385072130432615,0.0,0.0,,0.0
5,lucene,,15415,0.078,5,5,1.0,0.6361267156839808,0.9299042992737949,13.777228402401827,0.0,0.0,,0.0
5,lucene,,17039,0.053,5,5,1.0,0.38926220997554917,0.9649886593971192,13.781086967542706,0.0,0.0,,0.0
5,lucene,,17318,0.278,5,5,1.0,0.2643020128984372,0.9858865741570014,15.31189012336513,0.3219349689077872,0.5,2,0.5
5,lucene,,17630,0.088,5,5,1.0,0.4477629927102911,0.995571037709914,14.715622090756977,0.0,0.0,,0.0
5,lucene,,17709,0.085,5,5,1.0,0.5770980921816065,0.9703745047730802,16.37735500015086,0.0,0.0,,0.0
5,lucene,,18127,0.08700000000000001,5,4,0.8,0.8782875437343974,0.8571245542425356,10.77371901428583,0.0,0.0,,0.0
5,lucene,,18390,0.10200000000000001,5,5,1.0,1.8508220414639909,0.7925628464255449,8.803889181363093,0.0,0.0,,0.0
5,lucene,,18634,0.074,5,5,1.0,0.52294307307713,0.9585338745157314,13.961763525616098,0.0,0.0,,0.0
5,lucene,,18758,0.075,5,5,1.0,0.7687480805628027,0.9815292939748955,13.284945532683583,0.0,0.0,,0.0
5,lucene,,19114,0.08700000000000001,5,5,1.0,0.8851860383181726,0.9625648217763351,15.430960369793672,0.11109888800092471,0.14285714285714285,7,0.14285714285714285
5,lucene,,21050,0.041,5,5,1.0,0.8129678892278445,0.9831260589572994,11.44253606521631,0.0,0.0,,0.0
5,lucene,,21280,0.095,5,5,1.0,1.2547100924532626,0.8536057271428187,11.100410409469312,0.036205219313118514,0.05263157894736842,19,0.05263157894736842
5,lucene,,21401,0.062,5,5,1.0,1.059759509808473,0.925655160122356,14.177101804652795,0.0,0.0,,0.0
5,lucene,,22074,0.07200000000000001,5,5,1.0,0.5482924098451942,0.9572270685462846,10.50028381172028,0.0,0.0,,0.0
5,lucene,,22245,0.034,5,5,1.0,0.8926756469195612,0.9947661599092228,12.44253606521631,0.0,0.0,,0.0
5,lucene,,22352,0.14300000000000002,5,5,1.0,0.9483989793719376,0.9629021914693489,14.777228402401827,0.0,0.0,,0.0
5,lucene,,24797,0.10200000000000001,5,5,1.0,0.5627940383608769,0.9662670221772593,16.30803155822425,0.0674484386608322,0.047619047619047616,21,0.047619047619047616
5,lucene,,25268,0.085,5,5,1.0,0.781552418515912,1.0,13.319607253646886,0.0,0.0,,0.0
5,lucene,,25645,0.101,5,5,1.0,0.221837167382948,1.0,13.815748688506009,0.0,0.0,,0.0
5,lucene,,26022,0.057,5,4,0.8,0.7499153097531404,0.8316109456986622,11.642789260714373,0.0,0.0,,0.0
5,lucene,,26222,0.116,5,5,1.0,0.6441484385363979,0.9611954054320678,12.385072130432615,0.0,0.0,,0.0
5,lucene,,27142,0.023,5,5,1.0,0.6222596161784025,0.9917543271513191,16.2117635256161,0.10195830182038851,0.125,8,0.125
5,lucene,,27456,0.069,5,4,0.8,0.4028662299378057,0.8910499491931113,14.089183891071558,0.0,0.0,,0.0
5,lucene,,27474,0.045,5,4,0.8,1.4797869901706069,0.8058955494926149,11.27371901428583,0.10331819373413702,0.09090909090909091,11,0.09090909090909091
5,lucene,,27579,0.065,5,5,1.0,0.2632554148381993,0.9839351134072948,15.31189012336513,0.14652126541514796,0.1,10,0.1
5,lucene,,27731,0.12,5,5,1.0,1.0791045378032105,0.9463718739663906,13.235198728181647,0.0,0.0,,0.0
5,lucene,,27898,0.117,5,5,1.0,0.8963336693261729,0.9221177295444809,12.25028381172028,0.0,0.0,,0.0
5,lucene,,28176,0.385,5,5,1.0,0.31895676182184224,0.9978750640973449,16.27722840240183,0.08702804732005627,0.1111111111111111,9,0.1111111111111111
5,lucene,,32234,0.10300000000000001,5,5,1.0,0.8834903367408428,1.0,14.135072130432615,0.0,0.0,,0.0
5,lucene,,32780,0.136,5,4,0.8,0.4098983487422237,0.9293317001666953,11.327324383928644,0.0,0.0,,0.0
5,lucene,,33003,0.053,5,5,1.0,1.2963664689595626,0.9284955465701923,12.135072130432615,0.0,0.0,,0.0
5,lucene,,33860,0.053,5,5,1.0,1.412825105716123,0.9724371934881971,13.711763525616098,0.07450833767528012,0.07142857142857142,14,0.07142857142857142
5,lucene,,34494,0.105,5,5,1.0,0.5507606372172122,0.9871407773054001,14.16587528625504,0.0,0.0,,0.0
5,lucene,,35050,0.10400000000000001,5,5,1.0,0.9179044925508548,0.9359493350178875,10.565748688506009,0.0,0.0,,0.0
